EryA,EryB,GMP,MEP,MPP,CMP
6.22,8.97,59.2,6.53,28.15,42.36
7.47,7.59,2.34,3.92,54.46,18.71
6.22,7.59,15.83,5.66,38.31,22.95
2.49,4.14,17.58,8.27,102.92,29.65
4.98,2.07,24.03,11.76,51.69,28.95
9.95,4.14,11.14,16.98,43.38,20.48
6.22,3.45,8.79,11.32,21.69,24.71
4.98,8.97,36.93,9.58,55.85,48.37
6.22,5.52,27.55,13.94,84.92,47.66
17.42,6.9,5.28,5.23,4.15,6.71
28.62,42.1,18.76,15.24,9.23,12.71
8.71,6.21,36.93,8.27,11.08,33.54
6.22,15.87,12.9,11.32,5.54,6.71
38.58,62.11,23.45,21.78,30,20.83
21.15,13.11,14.65,19.6,49.38,16.59
8.71,11.04,2.34,7.4,3.23,2.47
4.98,2.76,21.1,8.71,14.31,15.18
0,2.07,8.79,3.48,8.31,8.47
6.22,4.83,11.72,6.97,14.77,12.36
9.95,4.83,36.34,13.5,91.38,44.13
9.95,1.38,41.03,5.66,10.62,16.24
3.73,6.21,38.69,9.15,36,34.24
3.73,4.14,68.58,1.74,9.69,32.48
0,4.83,6.45,3.92,3.69,4.59
9.95,9.66,16.41,2.61,37.85,16.95
16.18,17.25,1.17,2.61,2.31,2.12
13.69,8.28,18.76,3.48,11.08,9.53
12.44,6.21,5.86,15.24,13.38,10.24
6.22,8.28,28.14,16.55,28.15,33.89
13.69,8.97,14.65,13.94,18,8.47
14.93,13.8,5.28,6.97,7.85,4.94
4.98,8.97,15.24,14.37,32.31,29.3
21.15,20.01,1.76,8.71,6.92,4.24
7.47,6.9,2.34,8.71,2.77,6.35
16.18,10.35,18.17,10.02,8.77,11.3
11.2,6.9,5.28,3.05,2.31,4.59
2.49,3.45,21.1,7.4,17.54,15.18
12.44,30.37,45.72,7.84,57.69,26.83
23.64,42.79,11.14,24.39,22.62,11.3
14.93,10.35,16.41,40.07,18.92,24.01
17.42,21.39,22.27,24.39,21.23,34.6
28.62,24.15,25.2,23.08,24.92,27.89
13.69,12.42,68.58,11.32,14.77,42.01
80.88,106.97,60.96,50.95,54.46,43.42
60.97,127.67,7.62,43.99,5.08,8.47
37.33,42.1,21.1,30.92,23.54,19.06
48.53,71.08,14.65,37.45,6.92,7.41
26.13,63.49,55.69,25.7,44.77,34.6
13.69,31.06,45.13,26.57,75.23,50.48
12.44,22.08,38.69,11.32,18.92,35.3
17.42,22.08,17.58,16.55,41.08,28.24
4.98,11.73,5.86,8.71,9.23,14.83
22.4,7.59,35.76,14.81,45.69,26.48
3.73,6.21,87.92,11.32,35.54,48.37
7.47,8.28,31.07,6.97,12.46,32.13
16.18,29.68,5.86,47.91,14.31,10.59
