CMP,EryA,EryB,GMP,MPP,Mono,MEP,GN
42.36,6.22,8.97,59.2,28.15,28.49,6.53,22.56
18.71,7.47,7.59,2.34,54.46,9.86,3.92,4.34
22.95,6.22,7.59,15.83,38.31,9.04,5.66,7.38
29.65,2.49,4.14,17.58,102.92,8.22,8.27,8.68
28.95,4.98,2.07,24.03,51.69,10.41,11.76,6.51
20.48,9.95,4.14,11.14,43.38,6.3,16.98,5.64
24.71,6.22,3.45,8.79,21.69,7.4,11.32,7.81
48.37,4.98,8.97,36.93,55.85,13.97,9.58,12.58
47.66,6.22,5.52,27.55,84.92,33.97,13.94,84.6
6.71,17.42,6.9,5.28,4.15,6.85,5.23,9.11
12.71,28.62,42.1,18.76,9.23,17.54,15.24,4.34
33.54,8.71,6.21,36.93,11.08,17.81,8.27,12.58
6.71,6.22,15.87,12.9,5.54,28.77,11.32,54.66
20.83,38.58,62.11,23.45,30,30.41,21.78,24.73
16.59,21.15,13.11,14.65,49.38,18.08,19.6,19.52
2.47,8.71,11.04,2.34,3.23,6.03,7.4,3.9
15.18,4.98,2.76,21.1,14.31,30.96,8.71,37.74
8.47,0,2.07,8.79,8.31,19.73,3.48,49.46
12.36,6.22,4.83,11.72,14.77,30.14,6.97,45.55
44.13,9.95,4.83,36.34,91.38,34.8,13.5,13.88
16.24,9.95,1.38,41.03,10.62,38.63,5.66,12.15
34.24,3.73,6.21,38.69,36,46.58,9.15,60.74
32.48,3.73,4.14,68.58,9.69,52.88,1.74,49.46
4.59,0,4.83,6.45,3.69,7.67,3.92,6.51
16.95,9.95,9.66,16.41,37.85,17.26,2.61,10.41
2.12,16.18,17.25,1.17,2.31,5.21,2.61,4.77
9.53,13.69,8.28,18.76,11.08,17.54,3.48,12.58
10.24,12.44,6.21,5.86,13.38,9.32,15.24,11.28
33.89,6.22,8.28,28.14,28.15,32.33,16.55,52.49
8.47,13.69,8.97,14.65,18,12.88,13.94,3.47
4.94,14.93,13.8,5.28,7.85,4.38,6.97,6.07
29.3,4.98,8.97,15.24,32.31,13.43,14.37,6.51
4.24,21.15,20.01,1.76,6.92,7.95,8.71,8.68
6.35,7.47,6.9,2.34,2.77,4.93,8.71,7.81
11.3,16.18,10.35,18.17,8.77,16.17,10.02,10.85
4.59,11.2,6.9,5.28,2.31,10.14,3.05,2.6
15.18,2.49,3.45,21.1,17.54,15.62,7.4,3.47
26.83,12.44,30.37,45.72,57.69,23.56,7.84,6.51
11.3,23.64,42.79,11.14,22.62,15.62,24.39,9.54
24.01,14.93,10.35,16.41,18.92,21.92,40.07,13.45
34.6,17.42,21.39,22.27,21.23,27.4,24.39,62.47
27.89,28.62,24.15,25.2,24.92,15.07,23.08,22.99
42.01,13.69,12.42,68.58,14.77,52.33,11.32,60.74
43.42,80.88,106.97,60.96,54.46,45.48,50.95,39.48
8.47,60.97,127.67,7.62,5.08,10.69,43.99,2.17
19.06,37.33,42.1,21.1,23.54,10.96,30.92,12.15
7.41,48.53,71.08,14.65,6.92,7.67,37.45,8.68
34.6,26.13,63.49,55.69,44.77,50.69,25.7,35.57
50.48,13.69,31.06,45.13,75.23,27.4,26.57,33.4
35.3,12.44,22.08,38.69,18.92,30.14,11.32,22.99
28.24,17.42,22.08,17.58,41.08,16.99,16.55,13.88
14.83,4.98,11.73,5.86,9.23,8.49,8.71,7.81
26.48,22.4,7.59,35.76,45.69,42.74,14.81,54.23
48.37,3.73,6.21,87.92,35.54,63.57,11.32,37.31
32.13,7.47,8.28,31.07,12.46,49.04,6.97,76.79
10.59,16.18,29.68,5.86,14.31,8.49,47.91,7.81
29.65,6.22,4.83,29.89,13.85,35.89,8.71,65.51
24.36,11.2,15.87,29.89,9.23,43.29,20.03,49.46
12.71,2.49,13.8,15.24,6,29.86,10.45,77.22
15.53,7.47,3.45,19.93,10.15,39.73,6.1,83.29
36.36,3.73,13.8,25.79,33.23,37.54,13.94,55.1
38.83,13.69,8.28,19.93,19.85,37.54,31.36,90.67
7.06,27.38,40.72,2.34,4.15,7.4,48.34,9.11
8.12,11.2,17.94,9.96,6.46,6.85,40.5,6.94
3.18,41.06,53.83,2.34,2.77,11.23,66.63,6.07
