UNIQUD,NAME,MPP,CMP,GMP,MEP,EryA,Gn
NM_029455,Fam227b,0.5251,0.3491,1.0994,4.0201,0.5025,0.098
NR_106086,Mir7227,0,0.3495,0,0,0,0
NM_144958,Eif4a1,505.3783,521.2949,564.017,1203.5938,313.4086,98.4719
NM_028889,Efhd1,6.8227,2.095,0,0.8035,0,0.4304
NM_029777,Rhbdd1,43.7002,81.7149,82.4548,142.3201,38.6735,39.5595
NM_172405,Fam175a,59.0606,86.2535,59.0036,180.106,41.6865,8.1772
NM_027154,Tmbim1,93.181,110.0006,108.8399,133.461,9.041,19.3883
NR_102758,Farsb,93.9616,215.7954,265.6909,881.1007,70.313,19.78
NM_001130188,Sgce,17.7149,6.6348,1.466,16.0733,0,0.0782
NM_207141,Olfr955,0,0,0,0,0,0
NM_001162368,Mgat4c,6.037,0.698,1.0993,3.214,1.5071,0.3927
NM_199449,Zhx2,15.3533,16.7617,13.9256,22.5117,6.0271,58.466
NM_001007583,Best3,8.0032,0,0.7331,0.8035,1.0044,0.0391
NM_001286652,Tmem176b,1136.6476,1242.0406,904.0839,151.9566,23.6057,436.5812
NM_008117,Gh,1.312,0,0,0,0.5025,0.4503
NM_172420,Ppp1r1c,2.2309,0.3491,0.3664,0,0.5025,0.0784
NM_001168290,Sugp2,44.8885,63.9017,38.1096,103.7218,50.2262,10.4875
NM_001004147,Fbll1,0,0,0,0,0,0
NM_010910,Nefl,0,0,0,0,0,0
NR_105873,Mir6908,0,0,0,0,0,0
NR_037692,4933407L21Rik,0,0,0,0,0,0
NM_008555,Masp1,4.9856,0,0,0,0,0.0782
NM_001146318,Cnp,286.7296,288.4279,227.2085,931.8626,69.3099,88.5469
NM_001161797,Phactr4,120.3466,180.8896,156.846,642.4734,277.236,28.3795
NM_145597,Tmem161a,98.8219,134.7838,141.8211,411.667,84.3781,20.0244
NM_001033438,Gm906,0,0,0,0,0,0
NR_038141,1700008K24Rik,0,0,0,0,0,0
NM_144839,Ube2e2,28.0827,35.2743,25.6528,34.581,3.0141,151.0647
NM_001081287,Mpp7,64.3021,85.2066,87.2188,193.7755,34.6543,22.6196
NM_021483,Pex5l,7.741,0.349,0,0.8035,0,0
NR_002862,Gm5088,0,0,0,2.4131,0.5019,0
NM_025701,Trappc5,359.7702,560.1009,458.8094,760.5675,99.9435,97.7636
NM_134027,Med1,169.1733,264.3493,259.4554,601.4267,179.7915,64.735
NR_033520,Tmem181b-ps,0,0,0,0,0,0
NM_010381,H2-Ea-ps,0,0,0,0,0,0.0391
NM_001114595,Ehbp1l1,191.7231,261.5515,281.0706,823.3804,4394.6158,377.7022
NM_019388,Cd86,9.5791,4.191,2.5649,0.8048,8.0346,111.8947
NM_145822,Cd3eap,286.6724,361.4275,418.8592,1106.406,16.5757,36.0241
NM_026406,Rnf115,65.6267,135.8323,127.1577,207.4176,88.3894,89.7368
NM_023153,Cwc15,293.7255,538.8048,590.0219,1083.0315,348.0758,136.9178
NR_038084,Six3os1,0,0,0,0,0,0.2935
NM_146177,Suv420h2,413.8621,474.5345,458.0976,970.4494,371.1674,81.3437
