CMP,EryA,GMP,MEP,MPP
42.36,6.22,59.2,6.53,28.15
18.71,7.47,2.34,3.92,54.46
22.95,6.22,15.83,5.66,38.31
29.65,2.49,17.58,8.27,102.92
28.95,4.98,24.03,11.76,51.69
20.48,9.95,11.14,16.98,43.38
24.71,6.22,8.79,11.32,21.69
48.37,4.98,36.93,9.58,55.85
47.66,6.22,27.55,13.94,84.92
6.71,17.42,5.28,5.23,4.15
12.71,28.62,18.76,15.24,9.23
33.54,8.71,36.93,8.27,11.08
6.71,6.22,12.9,11.32,5.54
20.83,38.58,23.45,21.78,30
16.59,21.15,14.65,19.6,49.38
2.47,8.71,2.34,7.4,3.23
15.18,4.98,21.1,8.71,14.31
8.47,0,8.79,3.48,8.31
12.36,6.22,11.72,6.97,14.77
44.13,9.95,36.34,13.5,91.38
16.24,9.95,41.03,5.66,10.62
34.24,3.73,38.69,9.15,36
32.48,3.73,68.58,1.74,9.69
4.59,0,6.45,3.92,3.69
16.95,9.95,16.41,2.61,37.85
2.12,16.18,1.17,2.61,2.31
9.53,13.69,18.76,3.48,11.08
10.24,12.44,5.86,15.24,13.38
33.89,6.22,28.14,16.55,28.15
8.47,13.69,14.65,13.94,18
4.94,14.93,5.28,6.97,7.85
29.3,4.98,15.24,14.37,32.31
4.24,21.15,1.76,8.71,6.92
6.35,7.47,2.34,8.71,2.77
11.3,16.18,18.17,10.02,8.77
4.59,11.2,5.28,3.05,2.31
15.18,2.49,21.1,7.4,17.54
26.83,12.44,45.72,7.84,57.69
11.3,23.64,11.14,24.39,22.62
24.01,14.93,16.41,40.07,18.92
34.6,17.42,22.27,24.39,21.23
27.89,28.62,25.2,23.08,24.92
42.01,13.69,68.58,11.32,14.77
43.42,80.88,60.96,50.95,54.46
8.47,60.97,7.62,43.99,5.08
19.06,37.33,21.1,30.92,23.54
7.41,48.53,14.65,37.45,6.92
34.6,26.13,55.69,25.7,44.77
50.48,13.69,45.13,26.57,75.23
35.3,12.44,38.69,11.32,18.92
28.24,17.42,17.58,16.55,41.08
14.83,4.98,5.86,8.71,9.23
26.48,22.4,35.76,14.81,45.69
48.37,3.73,87.92,11.32,35.54
32.13,7.47,31.07,6.97,12.46
10.59,16.18,5.86,47.91,14.31
29.65,6.22,29.89,8.71,13.85
24.36,11.2,29.89,20.03,9.23
12.71,2.49,15.24,10.45,6
15.53,7.47,19.93,6.1,10.15
36.36,3.73,25.79,13.94,33.23
38.83,13.69,19.93,31.36,19.85
7.06,27.38,2.34,48.34,4.15
8.12,11.2,9.96,40.5,6.46
3.18,41.06,2.34,66.63,2.77
18.71,9.95,1.76,14.37,69.69
19.06,16.18,15.83,10.02,18.46
21.89,17.42,14.65,23.52,12
39.19,26.13,25.79,40.5,48.92
11.3,6.22,11.14,10.89,5.08
6,4.98,3.52,3.48,12
57.9,4.98,69.75,11.76,21.23
51.54,18.67,66.82,7.84,24.46
56.49,18.67,69.75,12.63,30
46.25,7.47,59.79,15.24,41.54
21.54,1.24,17,10.02,9.69
7.77,8.71,8.79,3.05,55.38
2.82,4.98,1.17,1.74,21.23
17.3,4.98,12.31,7.4,42.92
15.53,9.95,19.93,10.89,59.54
13.06,3.73,5.86,4.36,71.08
33.19,3.73,18.76,8.71,48
35.3,13.69,18.76,7.84,35.08
4.24,4.98,3.52,4.79,7.85
4.24,6.22,0,3.48,8.77
19.06,6.22,11.72,6.1,70.61
14.47,4.98,5.28,6.53,66
25.07,2.49,30.48,20.9,34.15
16.95,6.22,7.62,12.63,43.85
31.42,4.98,31.65,4.36,58.15
2.12,17.42,2.93,37.02,2.77
18,4.98,32.24,43.99,34.61
34.6,6.22,19.34,32.66,35.08
76.96,33.6,77.96,74.47,85.38
8.47,1.24,7.62,9.58,2.77
54.72,4.98,36.34,23.95,64.61
20.83,11.2,17,8.71,43.38
48.01,9.95,46.89,20.03,26.31
28.6,3.73,41.03,57.05,27.23
16.59,21.15,5.28,41.81,9.69
40.95,12.44,34,23.95,57.69
8.47,21.15,13.48,12.19,9.69
37.42,16.18,68.58,27.44,30.92
24.71,11.2,31.65,19.6,38.31
36.01,8.71,37.51,25.7,28.62
45.89,14.93,65.65,23.95,68.31
54.72,14.93,76.79,25.7,48.92
9.53,8.71,5.28,43.12,19.38
52.25,3.73,56.27,24.82,40.15
34.95,11.2,29.89,27.87,22.15
27.18,12.44,24.03,5.66,7.38
6.35,0,8.79,6.1,6.46
10.59,2.49,9.38,8.27,19.85
22.59,14.93,10.55,23.08,18
65.31,7.47,47.48,27.44,55.38
6.71,3.73,4.69,7.4,11.54
34.95,6.22,45.13,12.19,45.69
36.72,17.42,61.55,25.7,55.38
56.49,7.47,56.86,20.9,74.31
7.41,9.95,0,6.1,4.62
22.59,4.98,11.72,5.23,6.92
6.35,14.93,7.03,2.18,10.15
31.07,3.73,36.93,8.71,30.46
36.01,6.22,56.86,6.97,8.77
25.42,4.98,31.07,5.23,45.69
22.95,7.47,23.45,7.84,26.77
37.07,11.2,31.07,5.66,60.92
4.24,2.49,1.17,3.92,5.08
15.18,18.67,24.03,7.4,42
12.71,2.49,14.07,5.23,31.85
32.83,13.69,31.65,4.79,91.84
8.47,11.2,5.28,6.1,45.69
20.12,4.98,12.9,4.79,48
38.48,14.93,24.03,10.45,73.38
33.89,2.49,32.24,5.66,13.85
26.12,3.73,15.83,5.66,37.38
32.83,7.47,43.96,9.58,67.85
24.36,4.98,10.55,14.81,65.08
9.88,18.67,3.52,6.1,45.69
17.3,7.47,18.76,14.37,66.92
16.24,2.49,4.69,15.68,84.92
26.48,6.22,18.17,3.92,74.31
48.37,6.22,51.58,6.1,49.85
16.59,8.71,10.55,3.48,43.38
40.95,11.2,58.62,10.02,99.69
12.71,2.49,52.75,3.48,6.46
56.84,8.71,52.17,11.32,81.69
14.12,1.24,27.55,7.84,34.15
22.24,3.73,25.79,4.79,2.31
7.06,7.47,6.45,6.53,4.62
32.48,8.71,52.75,0.87,12.46
32.83,6.22,56.86,7.4,19.85
10.94,3.73,22.27,3.05,3.23
5.65,9.95,1.76,5.23,2.77
20.12,3.73,18.17,6.97,26.31
24.71,2.49,40.44,10.89,54
45.54,18.67,38.69,22.21,80.31
18.36,27.38,19.93,23.95,17.54
32.48,9.95,32.82,15.24,18
30.71,8.71,49.82,23.52,37.85
49.07,6.22,62.13,5.66,83.08
33.89,74.66,34.58,105.39,33.23
25.07,7.47,24.62,23.95,24.92
50.13,8.71,55.69,13.07,46.61
20.83,21.15,34,5.23,53.08
10.59,7.47,12.31,2.61,58.15
23.65,2.49,21.69,5.23,21.69
61.78,7.47,90.85,4.79,125.08
31.77,0,19.34,5.66,90.92
34.24,21.15,17,6.97,41.08
10.24,7.47,15.24,8.27,11.54
24.36,8.71,15.24,10.89,79.85
44.13,6.22,42.2,17.86,66.92
66.72,9.95,52.75,51.39,93.69
28.95,6.22,28.14,47.47,19.38
36.36,21.15,31.65,48.34,53.08
31.77,6.22,22.86,54,46.15
54.72,14.93,76.79,20.47,68.77
63.19,7.47,42.2,46.16,66
25.77,3.73,25.2,8.27,31.85
33.89,7.47,38.1,14.37,28.15
15.18,7.47,5.28,7.84,37.85
31.77,9.95,24.03,8.71,23.08
46.95,9.95,53.34,9.15,66.46
6.71,4.98,15.24,3.92,7.38
19.42,4.98,18.76,47.91,9.69
14.12,11.2,13.48,47.47,8.77
9.53,7.47,7.03,13.07,5.54
56.49,6.22,50.41,9.58,54.46
21.54,3.73,27.55,37.45,19.38
41.66,4.98,25.2,25.7,60
26.12,2.49,52.75,11.32,12.46
31.77,2.49,25.79,11.76,38.31
3.88,9.95,0.59,5.23,4.15
2.12,1.24,7.03,4.36,6
11.3,2.49,15.83,8.27,7.38
16.95,3.73,17,6.97,9.23
9.88,13.69,5.86,22.21,4.15
3.18,11.2,5.86,23.95,5.08
7.06,28.62,11.72,63.15,5.08
8.47,24.89,4.1,22.65,12.92
5.65,6.22,9.96,2.18,8.77
2.47,3.73,1.17,3.92,6.46
5.65,2.49,2.34,3.05,6.92
3.88,3.73,5.86,5.66,1.85
3.53,7.47,7.03,3.48,3.69
3.18,0,9.38,5.66,3.23
38.48,14.93,21.69,15.24,42.46
56.49,4.98,82.06,11.76,92.31
16.59,2.49,38.69,3.92,12.46
20.12,2.49,12.31,6.1,33.23
22.24,7.47,12.9,11.32,66
2.47,4.98,4.1,5.66,2.31
2.82,8.71,4.1,4.79,3.23
12.71,11.2,2.34,5.23,7.85
29.3,11.2,17,12.63,32.31
12,4.98,11.72,8.71,36
4.59,82.13,6.45,37.45,5.54
41.31,32.35,56.86,19.16,24.46
41.66,32.35,38.69,10.45,5.54
18,34.84,6.45,59.23,9.23
51.19,31.11,39.27,27.44,41.54
38.83,28.62,42.2,25.26,69.23
6,48.53,5.28,41.37,4.15
62.13,14.93,70.93,25.26,110.77
4.24,8.71,1.17,6.97,0
2.12,16.18,7.03,2.18,5.08
11.3,13.69,5.28,13.5,2.77
6.35,9.95,5.86,24.82,5.54
3.88,41.06,5.28,39.63,5.54
16.24,33.6,9.38,57.05,10.15
7.41,52.26,4.1,63.58,9.23
8.12,36.09,6.45,24.39,9.69
14.47,36.09,12.31,34.41,8.31
38.83,47.29,15.83,65.33,24.92
7.06,100.79,6.45,21.78,6.46
18,13.69,19.93,13.5,42
5.3,22.4,8.21,45.73,8.31
8.83,26.13,12.31,54.44,10.15
4.94,11.2,4.1,6.1,10.15
19.06,11.2,25.79,6.97,29.08
35.66,7.47,53.93,8.27,36.46
7.77,11.2,5.86,5.23,6.46
40.95,16.18,43.38,24.82,31.38
13.06,22.4,9.38,14.37,7.38
67.08,23.64,58.62,30.92,39.23
31.77,3.73,45.72,6.97,81.69
20.83,6.22,45.13,7.84,4.62
30.01,9.95,26.96,17.42,47.08
8.47,8.71,2.34,2.61,9.23
10.94,8.71,8.79,3.48,36
4.24,3.73,1.17,9.15,6
6,2.49,1.76,6.1,6
6.71,7.47,9.38,10.45,6.46
6,14.93,8.79,5.66,6
25.42,59.73,26.96,49.65,32.31
8.47,14.93,21.69,5.66,8.31
25.77,11.2,42.79,11.76,6
23.65,3.73,31.07,6.1,37.85
31.42,6.22,43.38,6.97,34.61
26.83,0,24.62,4.36,52.15
33.89,0,57.44,17.86,51.23
33.19,7.47,38.1,6.1,12.46
49.78,14.93,49.24,10.02,75.69
31.07,11.2,48.65,9.15,43.38
49.78,19.91,73.27,12.63,58.61
4.59,2.49,6.45,11.76,7.38
4.94,12.44,7.62,7.4,6.92
32.48,12.44,43.96,20.9,30.92
51.19,21.15,74.44,42.24,135.69
58.6,12.44,93.79,17.42,42.92
51.54,17.42,51.58,27,73.38
13.06,23.64,21.1,12.63,14.31
21.54,41.06,26.96,67.5,8.31
39.89,37.33,38.1,60.1,29.54
9.18,46.04,3.52,33.53,10.62
7.41,141.86,4.69,81.88,8.31
3.88,146.83,1.76,49.65,5.08
1.77,151.81,0.59,47.04,6
2.82,110.75,0.59,38.76,3.23
10.94,21.15,15.83,55.75,20.31
9.53,67.2,13.48,43.99,24
14.12,23.64,6.45,42.24,4.62
11.65,16.18,12.31,8.71,5.08
32.83,2.49,28.14,2.61,13.85
33.54,11.2,43.96,15.24,42
27.89,9.95,21.1,15.68,41.54
57.54,2.49,63.31,26.13,80.31
31.07,11.2,25.79,10.02,50.77
30.01,9.95,42.2,10.02,29.08
27.54,9.95,18.17,30.05,61.85
27.54,12.44,19.93,6.1,53.08
15.53,8.71,7.62,7.4,38.31
16.95,8.71,9.38,6.53,39.23
9.53,8.71,6.45,57.92,4.15
8.12,14.93,14.65,63.58,7.38
28.95,9.95,36.34,43.55,15.23
22.95,4.98,35.76,7.84,18
19.42,11.2,11.72,11.76,36
38.83,79.64,43.38,40.5,67.38
38.83,6.22,30.48,14.81,76.15
34.24,7.47,25.2,26.13,66.46
22.95,7.47,13.48,5.66,51.69
38.83,3.73,32.24,9.58,47.08
50.13,3.73,46.89,11.76,48.46
23.3,13.69,29.89,9.15,43.38
31.07,2.49,35.17,14.81,6.92
21.18,6.22,25.2,14.81,17.54
16.95,4.98,17,21.78,19.85
25.07,11.2,19.93,21.78,30.92
33.19,14.93,42.79,13.94,26.31
5.3,36.09,4.1,52.7,9.23
20.83,4.98,12.31,5.66,77.08
33.19,6.22,34,10.02,62.77
3.18,16.18,0.59,5.23,6
5.3,6.22,6.45,6.1,17.54
25.77,2.49,68.58,8.27,26.31
30.01,3.73,48.65,19.6,41.54
50.48,12.44,45.72,57.05,75.23
12,12.44,10.55,62.28,6.92
8.12,12.44,21.1,39.2,1.85
36.36,32.35,40.44,84.05,23.54
12.36,14.93,8.21,55.31,5.08
14.47,4.98,5.28,48.78,7.85
51.54,11.2,26.96,56.62,68.31
48.72,11.2,25.79,27.44,50.31
8.47,68.44,6.45,39.2,3.23
10.94,38.58,3.52,28.31,9.69
7.41,38.58,0.59,24.39,26.77
11.65,23.64,15.83,58.79,13.38
4.94,17.42,4.1,53.57,7.38
41.31,47.29,60.37,35.28,35.54
40.95,9.95,31.65,36.58,96
45.19,12.44,45.72,62.28,71.08
18.36,7.47,19.93,39.63,18.46
26.83,12.44,24.62,38.33,12
6.35,24.89,5.28,43.55,2.77
52.25,11.2,104.34,6.53,10.15
26.83,12.44,35.17,10.89,14.31
12.71,6.22,4.69,2.18,22.15
48.01,6.22,36.93,27.44,45.23
51.9,8.71,53.93,18.73,64.15
55.07,13.69,51.58,20.9,39.69
55.07,3.73,72.1,8.71,11.54
39.89,4.98,62.13,5.66,16.15
44.13,2.49,70.34,16.55,39.23
22.24,12.44,26.96,43.99,23.08
60.37,3.73,85.58,11.32,50.77
36.72,13.69,51,10.45,69.23
39.19,13.69,42.79,10.45,59.08
4.94,8.71,3.52,2.61,4.62
34.24,4.98,41.62,10.89,29.08
35.3,4.98,45.13,9.15,24.46
48.37,3.73,74.44,16.98,62.77
3.53,7.47,7.03,55.75,4.15
16.59,18.67,21.69,37.89,12
16.59,12.44,8.21,86.67,11.08
10.59,6.22,10.55,39.63,11.08
7.06,13.69,10.55,56.62,9.23
14.47,3.73,9.38,3.48,9.23
27.54,12.44,24.62,18.73,40.15
51.54,8.71,36.93,20.47,76.15
11.65,16.18,15.83,7.4,22.62
4.24,3.73,4.69,4.36,5.54
8.83,13.69,4.1,12.63,18.46
24.71,11.2,26.96,37.02,28.15
54.72,18.67,84.99,73.17,22.62
9.53,46.04,9.38,80.13,2.77
44.48,16.18,38.69,16.98,46.61
25.07,18.67,45.72,40.5,17.54
12.71,18.67,15.83,19.16,8.77
16.95,44.8,14.65,39.2,21.69
35.3,90.84,37.51,56.18,41.54
38.13,27.38,39.27,29.61,33.69
18.36,14.93,42.79,12.19,12
30.36,16.18,29.31,6.97,22.62
19.77,14.93,11.14,16.55,32.31
42.36,7.47,41.03,8.27,1.85
24.01,6.22,15.83,3.05,3.23
29.3,11.2,39.86,16.98,25.85
33.54,8.71,38.1,8.71,20.77
6.35,8.71,3.52,2.18,4.15
43.42,7.47,59.79,4.79,19.85
7.77,6.22,16.41,3.05,3.23
6,13.69,2.34,7.4,3.69
