UNIQUD,NAME,MPP,CLP,CMP,GMP,MEP,CD8
NM_029455,Fam227b,0.5251,1.1356,0.3491,1.0994,4.0201,0
NR_106086,Mir7227,0,0,0.3495,0,0,0
NM_144958,Eif4a1,505.3783,664.7214,521.2949,564.017,1203.5938,189.5978
NM_028889,Efhd1,6.8227,19.6865,2.095,0,0.8035,0
NM_029777,Rhbdd1,43.7002,52.6303,81.7149,82.4548,142.3201,113.0828
NM_172405,Fam175a,59.0606,81.0289,86.2535,59.0036,180.106,64.0282
NM_027154,Tmbim1,93.181,71.9504,110.0006,108.8399,133.461,7.4838
NR_102758,Farsb,93.9616,177.211,215.7954,265.6909,881.1007,170.4658
NM_001130188,Sgce,17.7149,16.2804,6.6348,1.466,16.0733,3.327
NM_207141,Olfr955,0,0,0,0,0,0
NM_001162368,Mgat4c,6.037,0,0.698,1.0993,3.214,0
NM_199449,Zhx2,15.3533,26.506,16.7617,13.9256,22.5117,283.5365
NM_001007583,Best3,8.0032,0.7571,0,0.7331,0.8035,0
NM_001286652,Tmem176b,1136.6476,909.929,1242.0406,904.0839,151.9566,29.9355
NM_008117,Gh,1.312,1.8939,0,0,0,0
NM_172420,Ppp1r1c,2.2309,0,0.3491,0.3664,0,0
NM_001168290,Sugp2,44.8885,53.0075,63.9017,38.1096,103.7218,78.9925
NM_001004147,Fbll1,0,0,0,0,0,8.3159
NM_010910,Nefl,0,0,0,0,0,0
NR_105873,Mir6908,0,0,0,0,0,0
NR_037692,4933407L21Rik,0,0.3785,0,0,0,0
NM_008555,Masp1,4.9856,0,0,0,0,3.3273
NM_001146318,Cnp,286.7296,480.6129,288.4279,227.2085,931.8626,551.3242
NM_001161797,Phactr4,120.3466,137.0633,180.8896,156.846,642.4734,103.1049
NM_145597,Tmem161a,98.8219,128.3766,134.7838,141.8211,411.667,87.3064
NM_001033438,Gm906,0,0,0,0,0,0
NR_038141,1700008K24Rik,0,0,0,0,0,0
NM_144839,Ube2e2,28.0827,12.4929,35.2743,25.6528,34.581,9.1488
NM_001081287,Mpp7,64.3021,102.2317,85.2066,87.2188,193.7755,103.1078
NM_021483,Pex5l,7.741,2.2727,0.349,0,0.8035,0
NR_002862,Gm5088,0,0,0,0,2.4131,0
NM_025701,Trappc5,359.7702,384.3668,560.1009,458.8094,760.5675,183.7695
NM_134027,Med1,169.1733,237.429,264.3493,259.4554,601.4267,286.8612
NR_033520,Tmem181b-ps,0,0,0,0,0,0
NM_010381,H2-Ea-ps,0,0,0,0,0,0
NM_001114595,Ehbp1l1,191.7231,290.0969,261.5515,281.0706,823.3804,236.1661
NM_019388,Cd86,9.5791,14.0087,4.191,2.5649,0.8048,46.565
NM_145822,Cd3eap,286.6724,353.7088,361.4275,418.8592,1106.406,228.6641
NM_026406,Rnf115,65.6267,104.8805,135.8323,127.1577,207.4176,182.9252
NM_023153,Cwc15,293.7255,493.0965,538.8048,590.0219,1083.0315,439.8755
NR_038084,Six3os1,0,0,0,0,0,0
NM_146177,Suv420h2,413.8621,387.0155,474.5345,458.0976,970.4494,184.6043
NM_146433,Olfr994,0,0,0,0,0,0
NM_027652,Ept1,31.6303,53.7736,73.3322,71.8242,228.3199,70.6847
NM_001166375,1-Mar,4.7236,6.0621,11.1742,6.2301,8.0427,6.6532
NM_001172069,Senp8,9.7116,16.6557,21.3008,15.7585,33.7657,29.9338
NM_018830,Asah2,16.0098,15.521,17.1122,15.756,8.8449,7.484
NM_026828,Dnlz,164.5458,289.3518,178.0963,175.5342,499.262,142.1913
NR_028591,Gm14005,39.5289,21.9643,123.271,263.4825,20.0934,35.7588
NM_178061,Mob3b,41.0747,30.664,86.9546,64.13,100.5249,79.8248
NM_146244,Rps6kl1,0,4.1684,1.7463,0,10.4559,5.8224
NR_003649,Gm5434,0,0,0.6985,0.3665,0,0
NM_212441,Acsm3,1.182,0,0,0,0.8035,1.6635
NM_001199960,Ccl27b,0,0,0,0,0,0
NM_001081124,Map7d2,4.1988,1.5142,1.7454,1.8321,5.6282,0
NM_146717,Olfr433,0.3936,0.7571,0,0,0,0
NM_029770,Unc5b,0,1.1356,0,0.3665,0.8035,0
NM_177197,Idi2,0,0,0,0,0,0
NM_029420,Slx1b,67.9859,93.5257,94.2827,87.952,124.6058,78.987
NR_045940,4930402F11Rik,0,0,0,0,0,0
NM_009412,Tpd52,74.9373,100.3379,158.5393,137.4218,43.4113,44.899
NM_001011753,Olfr115,0,0,0,0,0,0
NR_037296,Mir3109,0,0,0,0,0,0
NM_198927,Smgc,0,0,0,0,0,0
NR_029557,Mir145,0,0,0,0,0,0
NM_133892,Lao1,6.9539,0,1.0474,1.8321,0,0
NM_009595,Abl2,111.9367,167.7544,188.9147,149.1511,282.2106,230.3321
NR_045516,Dlg1,92.2632,146.9067,165.5239,145.4834,409.2686,256.9371
NM_001128180,Dlgap1,36.4746,1.1364,6.2859,1.0993,1.6083,2.4954
NM_146033,Ankmy2,32.9394,51.492,55.8767,58.267,85.2262,70.6782
NM_001162417,Myef2,16.5341,21.5853,44.0014,23.4525,119.823,36.5885
NM_001081213,Ermp1,28.0892,55.2808,75.7813,93.8151,104.5097,51.5545
NM_001161406,Grhl1,0.9184,0.7571,0.699,1.4662,4.0175,1.663
NR_045798,1810034E14Rik,36.6064,21.2068,10.4761,15.3927,39.4006,178.7766
NM_144903,Aldob,0,0,0,0,0,0
NM_001195596,Smlr1,0,0,0,0,0,0
NM_145521,Ppapdc3,18.9021,14.7668,11.1729,8.4283,22.5117,3.3257
NR_027964,Gm10416,0,0,0.3494,0.3664,0,0
NM_001190385,Caly,0,0,0,0.7329,0,0
NM_007428,Agt,0,0.3788,0,0,0,0
NM_001136062,Eno3,26.902,30.6767,45.3965,30.7833,82.0201,107.276
NM_009141,Cxcl5,0,0,0.3491,0,0,0
NM_001199936,Mup16,0,0,0,0,0,0
NM_021327,Tnip1,168.7867,154.139,215.4518,238.5726,160.0152,567.0642
NM_013522,Frg1,74.9354,127.9831,138.9848,130.091,135.0771,87.315
NM_018873,Srcin1,2.7552,0,0.6984,0,0.8035,1.663
NM_175650,Atp13a5,5.248,0,0,0,0,0
NR_105808,Mir6386,0,0,0,0,0,0
NM_001242364,Fam160a2,40.9475,53.0065,43.299,73.2921,158.3896,117.2453
NM_001082962,Snrpn,7.086,2.2725,3.8401,8.0628,1.607,10.8108
NM_001190352,Tmem132b,5.248,0.7579,3.491,0.3662,2.4105,4.1584
NM_001166428,Hnrnpf,134.6441,250.7185,207.0609,237.8444,651.2371,177.1228
NM_175417,Adtrp,9.7095,1.1356,1.0475,0.7331,2.4118,0
NM_001024853,Timm9,214.983,324.923,408.5632,379.6585,984.9012,344.2425
NM_001191023,Dync1i1,6.5606,0.3785,1.0479,1.099,0.8035,0.8318
NR_045829,4921511I17Rik,3.1489,0,1.0478,0,0.8035,1.6624
NM_001202446,Mapk8ip1,0.7873,6.0587,0.3491,0,0,0.8312
NM_178774,Prr18,0.3936,3.0299,4.1893,1.4658,2.4143,1.6627
NR_077239,A230009B12Rik,0,0,0,0,0,0
NM_010143,Ephb3,0,0,0,0,1.6083,0
NM_001009573,Unc13d,204.711,214.3497,179.4912,151.3456,475.1971,309.3334
NM_027139,Taf9,36.2222,101.8708,86.9499,104.0769,258.0604,29.1044
NM_001166595,Eif5a,3653.0662,5360.4212,3700.3461,4315.8015,9428.5002,1761.1495
NM_010336,Lpar1,33.4601,49.5968,17.4626,13.1904,39.4109,23.2836
NR_045947,D230030E09Rik,0.2624,0,0,0.7331,0,0
NM_016886,Gria3,191.9302,342.9812,940.741,796.6806,55.4882,108.9161
NM_025488,1700001K19Rik,0.3936,0,0,0,0,0
NM_026669,Tmbim6,998.4764,1141.4007,1518.905,2210.9826,2744.8417,1096.8521
NM_019659,Kcnj1,0,0,0,0,0,0
NM_001267796,Igip,5.7736,12.4937,12.9216,9.5275,39.3874,24.1125
NR_045975,4930519D14Rik,0.2624,0,0,0,0,0
NM_028506,Ccdc30,6.9538,3.7858,1.3969,1.099,1.6083,40.743
